,Context Length,Feature,Coefficient,VIF
0,5,mean multiple naming,0.4194165602618621,1.2149602213301993
1,5,mtld,0.30127829855913646,4.903508993638521
2,5,type token ratio,0.16133233405562744,4.0510756158689665
3,5,length ratio,0.15900195282502044,3.498520267881737
4,5,pos perplexity,0.13076087869874065,1.2241979501698426
5,5,positional token frequency,0.035889618818620544,2.5029487183863104
6,5,contextual function word,-0.008615489813459293,1.5494443844651755
7,5,passive verb ratio,-0.04949730176929555,1.3043352508823285
8,5,explicit naming,-0.050158680446516814,3.5740870878990347
9,5,10 most frequent word,-0.08482013413130289,3.720078979561588
10,5,repetition ratio,-0.09891002260421052,2.137825218431461
11,5,yulesi,-0.12369952005887576,3.7995988848073674
